[EVENT] Type: Anode | Timestamp: Line-147 | Confidence: 0.8 | Bounds: [233.6, 242.2] @ [1880.4, 1901.1]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [-662.9, -602.0] @ [2230.4, 2288.6]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [414.9, 466.9] @ [2339.2, 2358.1]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [549.0, 562.5] @ [2360.3, 2364.7]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [702.6, 714.7] @ [2379.8, 2380.7]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [774.8, 816.5] @ [2391.0, 2398.3]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [841.8, 871.5] @ [2389.0, 2397.7]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [908.6, 967.2] @ [2377.9, 2401.1]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [977.1, 1036.6] @ [2366.9, 2393.2]
[EVENT] Type: Rock | Timestamp: Line-147 | Confidence: 0.7 | Bounds: [1051.6, 1064.4] @ [2402.5, 2414.2]
[EVENT] Type: Freespan | Timestamp: Line-147 | Confidence: 0.8337205031033023 | Bounds: [-281.1, 255.7] @ [2260.9, 2327.7]
[EVENT] Type: Rock | Timestamp: Line-155 | Confidence: 0.7 | Bounds: [429.9, 469.0] @ [2339.0, 2347.3]
[EVENT] Type: Rock | Timestamp: Line-155 | Confidence: 0.7 | Bounds: [515.0, 520.5] @ [2354.1, 2356.0]
[EVENT] Type: Rock | Timestamp: Line-155 | Confidence: 0.7 | Bounds: [677.7, 720.9] @ [2360.3, 2376.0]
[EVENT] Type: Rock | Timestamp: Line-155 | Confidence: 0.7 | Bounds: [995.4, 1068.0] @ [2373.5, 2412.2]
[EVENT] Type: Freespan | Timestamp: Line-155 | Confidence: 0.8224390367290766 | Bounds: [-282.7, 257.8] @ [2264.0, 2328.5]
[EVENT] Type: Rock | Timestamp: Line-159 | Confidence: 0.7 | Bounds: [427.8, 460.9] @ [2344.9, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-159 | Confidence: 0.7 | Bounds: [601.0, 614.5] @ [2360.0, 2364.7]
[EVENT] Type: Rock | Timestamp: Line-159 | Confidence: 0.7 | Bounds: [710.8, 757.5] @ [2364.1, 2371.3]
[EVENT] Type: Rock | Timestamp: Line-159 | Confidence: 0.7 | Bounds: [962.7, 1015.6] @ [2384.6, 2398.0]
[EVENT] Type: Freespan | Timestamp: Line-159 | Confidence: 0.8057864797148113 | Bounds: [-283.8, 260.4] @ [2269.4, 2330.6]
[EVENT] Type: Anode | Timestamp: Line-166 | Confidence: 0.8 | Bounds: [237.7, 244.0] @ [1885.8, 1901.1]
[EVENT] Type: Rock | Timestamp: Line-166 | Confidence: 0.7 | Bounds: [505.8, 513.0] @ [2304.9, 2351.6]
[EVENT] Type: Rock | Timestamp: Line-166 | Confidence: 0.7 | Bounds: [603.1, 652.6] @ [2360.3, 2369.1]
[EVENT] Type: Rock | Timestamp: Line-166 | Confidence: 0.7 | Bounds: [940.8, 987.6] @ [2384.8, 2391.5]
[EVENT] Type: Rock | Timestamp: Line-166 | Confidence: 0.7 | Bounds: [1067.1, 1095.3] @ [2332.3, 2395.8]
[EVENT] Type: Freespan | Timestamp: Line-166 | Confidence: 0.8367561516723641 | Bounds: [-281.6, 257.9] @ [2263.4, 2330.8]
[EVENT] Type: Rock | Timestamp: Line-170 | Confidence: 0.7 | Bounds: [-582.6, -576.3] @ [2286.1, 2286.3]
[EVENT] Type: Rock | Timestamp: Line-170 | Confidence: 0.7 | Bounds: [511.6, 516.7] @ [2311.2, 2315.1]
[EVENT] Type: Rock | Timestamp: Line-170 | Confidence: 0.7 | Bounds: [537.0, 580.4] @ [2315.6, 2349.5]
[EVENT] Type: Rock | Timestamp: Line-170 | Confidence: 0.7 | Bounds: [608.6, 661.3] @ [2360.3, 2369.1]
[EVENT] Type: Rock | Timestamp: Line-170 | Confidence: 0.7 | Bounds: [1063.1, 1099.4] @ [2341.1, 2393.8]
[EVENT] Type: Freespan | Timestamp: Line-170 | Confidence: 0.8381961069763428 | Bounds: [-280.6, 257.5] @ [2260.6, 2328.2]
[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [-537.4, -532.2] @ [2294.5, 2294.8]
[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [484.8, 518.7] @ [2323.8, 2347.3]
[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [532.2, 538.0] @ [2336.5, 2338.4]
[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [605.3, 615.1] @ [2366.6, 2366.9]
